"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","The Mayor of Sunderland Cllr Doris MacKnight tries her hand at some Chinese painting.

#ChineseNewYear @SRNewsNow https://t.co/DpvkrMWkCu",FALSE,0,"JamesCopley73",2018-02-25 13:04:01,FALSE,"967746383481659392","967747007048806401","53144477","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JamesCopley73",0,FALSE,FALSE,NA,NA
"2","#chinesenewyear .. well done to Mrs Lowe for her “moulin rouge”… https://t.co/jmKhdWEiYW",FALSE,0,NA,2018-02-25 13:02:08,FALSE,NA,"967746533868343296",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iamchrisjlowe",0,FALSE,FALSE,"-0.26652222","51.46468611"
"3","To celebrate the #ChineseNewYear and the #YearofTheDog we have some exciting announcements coming up in the next fe… https://t.co/GrAoidPEU4",FALSE,1,NA,2018-02-25 13:00:56,TRUE,NA,"967746234847985664",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","passpawt",0,FALSE,FALSE,NA,NA
"4","Is your dog super photogenic? For a chance to #win a free grooming session for your pup and a tour of Metro Bank wi… https://t.co/9q5Qp4BJwn",FALSE,0,NA,2018-02-25 13:00:48,TRUE,NA,"967746200068861953",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Metro_Bank",0,FALSE,FALSE,NA,NA
"5","RT @Ihsaan_Haffo: Some slow motion action from crazy fireworks at #Chinesenewyear celebrations in #Joburg old China Town <ed><U+00A0><U+00BC><ed><U+00BE><U+00A5>: @Ihsaan_Haffo h…",FALSE,0,NA,2018-02-25 13:00:42,FALSE,NA,"967746172721991681",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","ALETTAHA",2,TRUE,FALSE,NA,NA
"6","RP By #cards.for.love Chinese New Year! #cardmaking #chinesenewyear #chinese #newyear #papersource #crafting… https://t.co/MUWy0U0vQM",FALSE,1,NA,2018-02-25 13:00:24,TRUE,NA,"967746098503831552",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","xyroninc",0,FALSE,FALSE,NA,NA
"7","RT @ChinaDailyUSA: A #dragon dance competition was held Friday in Gantian township of Baise, #Guangxi to celebrate the #ChineseNewYear holi…",FALSE,0,NA,2018-02-25 13:00:24,FALSE,NA,"967746096855502848",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Yosimexico",26,TRUE,FALSE,NA,NA
"8","RT @Kanerudo66: Happy Chinese New Year! <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>
(By Howxu)
#MLPFiM #MLP #ChineseNewYear #SunsetShimmer #Derpy #Brony https://t.co/tcqhgmwEiB",FALSE,0,NA,2018-02-25 12:59:04,FALSE,NA,"967745763144032256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dennyvixen",46,TRUE,FALSE,NA,NA
"9","Stay classy. #Blackface on #CCTV #ChineseNewYear gala https://t.co/fjhyARrqmf #China #travel #nomad",FALSE,0,NA,2018-02-25 12:57:32,FALSE,NA,"967745377842745344",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>","lodewijkhof",0,FALSE,FALSE,NA,NA
"10","#chinesenewyear #2018 #yearofdog #penang#cny #celebration #liondance #littlemonster #<U+620A><U+620C><U+5E74> #<U+69DF><U+57CE> #<U+5E99><U+4F1A>… https://t.co/5rCrmEi41r",FALSE,0,NA,2018-02-25 12:56:09,FALSE,NA,"967745030269128704",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","tssaw",0,FALSE,FALSE,"100.333","5.41667"
"11","Yees Hung Gar Kung Fu Demonstation Chinese New Year on Bayard St Chinato... https://t.co/w3hYs1yyOS #YeesHungGa… https://t.co/G8tEqcYSHj",FALSE,0,NA,2018-02-25 12:55:51,TRUE,NA,"967744955933511680",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Bachatero1966",0,FALSE,FALSE,NA,NA
"12","RT @ChinaEUMission: This is a #Sichuan Big Puppet Calligraphy performance wishing you a prosperous and happy #ChineseNewYear, marked by goo…",FALSE,0,NA,2018-02-25 12:55:19,FALSE,NA,"967744818783883266",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","XiaoAsia",1,TRUE,FALSE,NA,NA
"13","RT @XHNews: Grand parade in downtown Ghent, Belgium, for #ChineseNewYear celebrations https://t.co/8rCZ7s69EF",FALSE,0,NA,2018-02-25 12:55:18,FALSE,NA,"967744817240461314",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DukDaffe",18,TRUE,FALSE,NA,NA
"14","Lion Dance! #chinesenewyear #cny #lunarnewyear #yearofthedog #liondance https://t.co/izk8OxtZ6Z",FALSE,0,NA,2018-02-25 12:54:26,FALSE,NA,"967744595915431941",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","elstoleno",0,FALSE,FALSE,NA,NA
"15","RT @XHNews: Warm Current - Inside Xi Jinping's schedule for #ChineseNewYear #SpringFestival #XiJinping https://t.co/omqHiifZzu",FALSE,0,NA,2018-02-25 12:53:27,FALSE,NA,"967744348442968064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dayoungexo",841,TRUE,FALSE,NA,NA
"16","RT @Goombac: Happy New Year! @PlayOverwatch #ChineseNewYear #Overwatch https://t.co/Is7chbzR5d",FALSE,0,NA,2018-02-25 12:50:44,FALSE,NA,"967743666356973575",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MissisLangdon",2729,TRUE,FALSE,NA,NA
"17","Grand parade in downtown Ghent, Belgium, for #ChineseNewYear celebrations https://t.co/TXvVJAWy1I",FALSE,0,NA,2018-02-25 12:49:14,FALSE,NA,"967743287523201024",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jornalistavitor",0,FALSE,FALSE,NA,NA
"18","RT @clockbirdsART: { lantern } a little painting to celebrate the year of the dog!

#ChineseNewYear https://t.co/k1el3S1QjU",FALSE,0,NA,2018-02-25 12:43:22,FALSE,NA,"967741810406649858",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BenyapaPengsuwa",551,TRUE,FALSE,NA,NA
"19","Chinese New year is happening right here in Sunderland @1034SunFM #chinesenewyear #Sunderland https://t.co/oIxAalUQST",FALSE,0,NA,2018-02-25 12:42:34,FALSE,NA,"967741611450011649",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dryden3",0,FALSE,FALSE,NA,NA
"20","Loving the vibrant red colours &amp; decorations still displayed in #chinatownlondon #chinesenewyear… https://t.co/GDBxyJOv5p",FALSE,0,NA,2018-02-25 12:40:16,FALSE,NA,"967741033437126656",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","NDLBEUROPE",0,FALSE,FALSE,"-0.146084","51.517099"
"21","#Dragons are not always scary! See how a big brother manages to dissipate his sister's fear and prepare for the… https://t.co/ug9bOQcygW",FALSE,0,NA,2018-02-25 12:40:06,TRUE,NA,"967740990319669248",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","print24",0,FALSE,FALSE,NA,NA
"22","@AP It is unfortunate and will be dangerous @chinaquarterly @Chellaney @chitraSD @ChinaRealTime @ChinaPowerCSIS… https://t.co/lOjI2tuTl6",FALSE,0,"AP",2018-02-25 12:39:53,TRUE,"967686348558741504","967740936313757696","51241574","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","dilllu",0,FALSE,FALSE,NA,NA
"23","RT @MikeGordonRyan: Happy Chinese New Year! 

#chinesenewyear #yearofthedog <ed><U+00A0><U+00BD><ed><U+00B0><U+0086> @ Lahaina, Hawaii https://t.co/bF8CzrIHS9",FALSE,0,NA,2018-02-25 12:37:12,FALSE,NA,"967740260489842688",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","imoodubc",3,TRUE,FALSE,NA,NA
"24","RT @alchemyjuices: Lots of great events happening in @KildareVillage for #ChineseNewYear!
Details here: https://t.co/FDn2H1tID7 https://t.c…",FALSE,0,NA,2018-02-25 12:34:59,FALSE,NA,"967739702999699456",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","CrossingsToyota",3,TRUE,FALSE,NA,NA
"25","RT @XHNews: Grand parade in downtown Ghent, Belgium, for #ChineseNewYear celebrations https://t.co/8rCZ7s69EF",FALSE,0,NA,2018-02-25 12:34:20,FALSE,NA,"967739540810223616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","agfcardosorj",18,TRUE,FALSE,NA,NA
"26","The performers pose for photos after a breathless routine.

@SRNewsNow #ChineseNewYear https://t.co/JPTYHwsEob",FALSE,0,"JamesCopley73",2018-02-25 12:30:41,FALSE,"967738187773857794","967738622500843520","53144477","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JamesCopley73",0,FALSE,FALSE,NA,NA
