"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @kissmemyfan_: [HQ] 180217 #Wuyifan #KrisWu @ #NBA All-Star Celebrity Game Cr.<U+60F3><U+4E0A><U+54C8><U+4F5B> #KrisWuNBACelebGame
https://t.co/Xt7oZkgoKW
https://t…",FALSE,0,NA,2018-02-25 09:03:21,FALSE,NA,"967686442934652928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_13ONLY",485,TRUE,FALSE,NA,NA
"2","RT @WuYiFan_KrisBar: #Wuyifan #KrisWu at #NBA  All-Star Celebrity Game 

Warming up <ed><U+00A0><U+00BC><ed><U+00BF><U+0080>
Enjoy the game @KrisWuOfficial_ !

Cr.PrinceKris<U+5C0F><U+738B><U+5B50>_<U+5434>…",FALSE,0,NA,2018-02-25 08:44:53,FALSE,NA,"967681794236715008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Wa1L_Fl0WER",3332,TRUE,FALSE,NA,NA
"3","ICYMI: SOME HOT TAKE POST ALL-STAR BREAK PREDICTIONS - https://t.co/UnwQsFTU6D #NBA #Podcast",FALSE,0,NA,2018-02-25 08:08:00,FALSE,NA,"967672513235795969",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","otgbasketball",0,FALSE,FALSE,NA,NA
"4","1986 Star© Michael Jordan XRC (1985 #NBA All-Star) Chicago Bulls Rare Card https://t.co/FEBXX06mrS",FALSE,0,NA,2018-02-25 07:26:02,FALSE,NA,"967661954377461761",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","sport_fan_stuff",0,FALSE,FALSE,NA,NA
"5","RT @WuYiFan_KrisBar: #Wuyifan #KrisWu at #NBA  All-Star Celebrity Game 

Warming up <ed><U+00A0><U+00BC><ed><U+00BF><U+0080>
Enjoy the game @KrisWuOfficial_ !

Cr.PrinceKris<U+5C0F><U+738B><U+5B50>_<U+5434>…",FALSE,0,NA,2018-02-25 05:47:16,FALSE,NA,"967637096272822277",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pxxprs",3332,TRUE,FALSE,NA,NA
"6","Lakers look to retain defensive intensity after lapses before All-Star break https://t.co/dtn2YbKDv4 #sports #NBA… https://t.co/etGrn4cUJV",FALSE,1,NA,2018-02-25 05:41:07,TRUE,NA,"967635551095435265",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","LakersGrrrrl",0,FALSE,FALSE,NA,NA
"7","Love beating NYK - Back in Business after the All-Star Break!
#Celtics #NBA https://t.co/ToioHzwkrf",FALSE,0,NA,2018-02-25 05:00:42,FALSE,NA,"967625377265758208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","brettcarterlacy",0,FALSE,FALSE,NA,NA
"8","Jimmy Butler Injury Update: Timberwolves All-Star To Have Surgery For Right Meniscus. The recent NBA All-star… https://t.co/YrRLGbeQoz",FALSE,0,NA,2018-02-25 04:35:37,TRUE,NA,"967619067229147137",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","InquisitrSports",0,FALSE,FALSE,NA,NA
"9","NBA - Basketball&gt; Timberwolves lose all-star Jimmy Butler to knee inju https://t.co/iXkvxCqPnm #NBA https://t.co/hwwCSTqZ2I",FALSE,0,NA,2018-02-25 03:42:04,FALSE,NA,"967605591643492353",NA,"<a href=""http://www.highgeekly.com"" rel=""nofollow"">HighTechGeekly</a>","NBAsportyst",0,FALSE,FALSE,NA,NA
"10","Jimmy Butler injury update: Wolves All-Star diagnosed with meniscal injury in right knee When Timberwolves All-Star… https://t.co/ui38DZ7KLI",FALSE,0,NA,2018-02-25 03:37:15,TRUE,NA,"967604378613010434",NA,"<a href=""http://twibble.io"" rel=""nofollow"">Twibble.io</a>","GlobalSportsCtr",0,FALSE,FALSE,NA,NA
